"title","price","savings","rating","reviews-count","score","url","is-sponsored","is-amazon-choice","is-discounted","before-discount","amazon-id","thumbnail","high-res-image","short-description","full-description"
"SSL - Two Functional Motorized Hospital Bed for Patient at Home","",NaN,5,1,"5.00","https://amazon.in/SSL-Functional-Motorized-Hospital-Patient/dp/B08MWRDM4W/ref=sr_1_215?keywords=at&qid=1677582387&sr=8-215",false,false,true,"60,000","B08MWRDM4W","https://m.media-amazon.com/images/I/41i90Z8ZklL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41i90Z8ZklL.jpg",,
"M S CREATION LCD 8.5 Inch Writing Tablet for Kids Educational Toy with Stylus Pen and Erase Button Notepad Slate Ewriter D...","",599,0,0,0,"https://amazon.in/CREATION-LCD-Inch-Writing-Tablet/dp/B0BW3R8LLF/ref=sr_1_216?keywords=at&qid=1677582387&sr=8-216",false,false,true,"599","B0BW3R8LLF","https://m.media-amazon.com/images/I/61uk1trOEcL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61uk1trOEcL.jpg",,
"Wireless Doorbell, Himster Waterproof Door Bell Chime Kit Alarm for Home at Over 1000 Feet Range Operating with 56 Melodie...","",NaN,4.3,1525,"6557.50","https://amazon.in/Waterproof-Operating-Adjustable-Transmitter-Receivers/dp/B09RFWNP4W/ref=sr_1_217?keywords=at&qid=1677582387&sr=8-217",false,false,true,"3,499","B09RFWNP4W","https://m.media-amazon.com/images/I/41qfH5AnuLL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41qfH5AnuLL.jpg",,
"Celestina e altre storie (Italian Edition)","",0,0,0,0,"https://amazon.in/Celestina-altre-storie-Italian-Atina-ebook/dp/B0081BDPPC/ref=sr_1_218?keywords=at&qid=1677582387&sr=8-218",false,false,false,"","B0081BDPPC","https://m.media-amazon.com/images/I/51C36fvSsTL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51C36fvSsTL.jpg",,
"Maid At Home Meat Fry Ready to Cook Mix 65gms (Pack of 2)","",200,5,1,"5.00","https://amazon.in/Maid-Home-Ularthu-Ready-130gms/dp/B08HHTC891/ref=sr_1_219?keywords=at&qid=1677582387&sr=8-219",false,false,true,"200","B08HHTC891","https://m.media-amazon.com/images/I/51CdKPqKsHL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51CdKPqKsHL.jpg",,
"Ahuja AT-06 6W Speaker Volume Control","",799,5,3,"15.00","https://amazon.in/Ahuja-AT-06-6W-Speaker-Control/dp/B09B25M3X6/ref=sr_1_220?keywords=at&qid=1677582387&sr=8-220",false,false,true,"799","B09B25M3X6","https://m.media-amazon.com/images/I/21D5SsvmCBL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/21D5SsvmCBL.jpg",,
"Welocity Professional Kingdom K-33S Steamer For Cold and Cough Nose Facial at Home ( Vicks can be added )","",NaN,4,849,"3396.00","https://amazon.in/Welocity-Professional-Portable-Humidifier-Moisturizing/dp/B08FRJM687/ref=sr_1_221?keywords=at&qid=1677582387&sr=8-221",false,false,true,"1,999","B08FRJM687","https://m.media-amazon.com/images/I/31uWIIpDGDL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/31uWIIpDGDL.jpg"," About this item  Promote blood circulation stimulate the vitality of skin cells effectively absorb moisture and oxygen Best quality economical price Makes the face of every inch of skin can be nourishing ",""
"Purpledip Handmade Paper Journal Goddess Lakshmi: Vintage Diary Notebook With Thread Closure (12082)","",500,4.9,8,"39.20","https://amazon.in/Purpledip-Handmade-Journal-Goddess-Lakshmi/dp/B0842HPBR9/ref=sr_1_222?keywords=at&qid=1677582387&sr=8-222",false,false,true,"500","B0842HPBR9","https://m.media-amazon.com/images/I/81ANGh8H42L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/81ANGh8H42L.jpg",,
"Arovemic White Laptop Table, Adjustable Height Kids Study Mate, Multiple Usage Table for Home at Any Place.","",NaN,3.4,450,"1530.00","https://amazon.in/Arovemic-Laptop-Adjustable-Height-Multiple/dp/B09B859C3P/ref=sr_1_223?keywords=at&qid=1677582387&sr=8-223",false,false,true,"1,499","B09B859C3P","https://m.media-amazon.com/images/I/61M-R2OOL0L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61M-R2OOL0L.jpg",,
"Pilgrim Red Vine At-home Facial Kit with Eco-friendly Jute Bag | Instant Glow | Set of 4: Face Toner ,Face Scrub ,Face Cre...","",NaN,0,0,0,"https://amazon.in/Pilgrim-At-home-Facial-Eco-friendly-Instant/dp/B097N7NYHY/ref=sr_1_224?keywords=at&qid=1677582387&sr=8-224",false,false,true,"1,850","B097N7NYHY","https://m.media-amazon.com/images/I/81dcHwAJ1ZS._AC_UL320_.jpg","https://m.media-amazon.com/images/I/81dcHwAJ1ZS.jpg",,
